1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1013003390000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝昼食直後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサヒルショクチョクゴ　フクヨウ,900
1013004490000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝昼食後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサヒルショクゴ　フクヨウ,900
1013005590000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝昼食２時間後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサヒルショク２ジカンゴ　フクヨウ,900
1013009990000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝昼食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサヒルショクチュウ　フクヨウ,900
1013010190000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝夕食前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサユウショクマエ　フクヨウ,900
1013020290000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝夕食直前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサユウショクチョクゼン　フクヨウ,900
1013030390000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝夕食直後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサユウショクチョクゴ　フクヨウ,900
1013040490000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝夕食後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサユウショクゴ　フクヨウ,900
1013050590000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝夕食２時間後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサユウショク２ジカンゴ　フクヨウ,900
1013090990000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝夕食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサユウショクチュウ　フクヨウ,900
1013011090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と昼夕食前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトヒルユウショクマエ　フクヨウ,900
1013022090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と昼夕食直前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトヒルユウショクチョクゼン　フクヨウ,900
1013033090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と昼夕食直後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトヒルユウショクチョクゴ　フクヨウ,900
1013044090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と昼夕食後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトヒルユウショクゴ　フクヨウ,900
1013055090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と昼夕食２時間後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトヒルユウショク２ジカンゴ　フクヨウ,900
1013099090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と昼夕食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトアサユウショクチュウ　フクヨウ,900
1013100190000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝食前と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトチョウショクマエトシュウシンマエ　フクヨウ,900
1013100290000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝食直前と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトチョウショクショクチョクゼントシュウシンマエ　フクヨウ,900
1013100390000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝食直後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトチョウショクチョクゴトシュウシンマエ　フクヨウ,900
1013100490000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝食後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトチョウショクゴトシュウシンマエ　フクヨウ,900
1013100590000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝食２時間後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトチョウショク２ジカンゴトシュウシンマエ　フクヨウ,900
1013100990000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と朝食中と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトチョウショクチュウトシュウシンマエ　フクヨウ,900
1013101090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と昼食前と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトチュウショクマエトシュウシンマエ　フクヨウ,900
1013102090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と昼食直前と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトチュウショクチョクゼントシュウシンマエ　フクヨウ,900
1013103090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と昼食直後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトチュウショクチョクゴトシュウシンマエ　フクヨウ,900
1013104090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と昼食後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトチュウショクゴトシュウシンマエ　フクヨウ,900
1013105090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と昼食２時間後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトチュウ２ジカンゴトシュウシンマエ　フクヨウ,900
1013109090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と昼食中と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトチュウショクチュウトシュウシンマエ　フクヨウ,900
1013110090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と夕食前と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトユウショクマエトシュウシンマエ　フクヨウ,900
1013120090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と夕食直前と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトユウショクチョクゼントシュウシンマエ　フクヨウ,900
1013130090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と夕食直後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトユウショクチョクゴトシュウシンマエ　フクヨウ,900
1013140090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と夕食後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトユウショクゴトシュウシンマエ　フクヨウ,900
1013150090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と夕食２時間後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトユウショク２ジカンゴトシュウシンマエ　フクヨウ,900
1013190090000000,1,内服,0,経口,1,食事ベース型,１日３回起床時と夕食中と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイキショウジトユウショクチュウトシュウシンマエ　フクヨウ,900
1013011100000000,1,内服,0,経口,1,食事ベース型,１日３回朝昼夕食前　服用,1128,20220725,99999999,0,0,0,0,0,0,１ニチ３カイアサヒルユウショクマエ　フクヨウ,001
1013022200000000,1,内服,0,経口,1,食事ベース型,１日３回朝昼夕食直前　服用,1129,20220725,99999999,0,0,0,0,0,0,１ニチ３カイアサヒルユウショクチョクゼン　フクヨウ,900
1013033300000000,1,内服,0,経口,1,食事ベース型,１日３回朝昼夕食直後　服用,1149,20220725,99999999,0,0,0,0,0,0,１ニチ３カイアサヒルユウショクチョクゴ　フクヨウ,900
1013044400000000,1,内服,0,経口,1,食事ベース型,１日３回朝昼夕食後　服用,1130,20220725,99999999,0,0,0,0,0,0,１ニチ３カイアサヒルユウショクゴ　フクヨウ,003
1013055500000000,1,内服,0,経口,1,食事ベース型,１日３回朝昼夕食２時間後　服用,1131,20220725,99999999,0,0,0,0,0,0,１ニチ３カイアサヒルユウショク２ジカンゴ　フクヨウ,002
1013099900000000,1,内服,0,経口,1,食事ベース型,１日３回朝昼夕食中　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイアサヒルユウショクチュウ　フクヨウ,900
1013101100000000,1,内服,0,経口,1,食事ベース型,１日３回朝昼食前と就寝前　服用,1132,20220725,99999999,0,0,0,0,0,0,１ニチ３カイアサヒルショクマエトシュウシンマエ　フクヨウ,041
1013102200000000,1,内服,0,経口,1,食事ベース型,１日３回朝昼食直前と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイアサヒルショクチョクゼントシュウシンマエ　フクヨウ,900
1013103300000000,1,内服,0,経口,1,食事ベース型,１日３回朝昼食直後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイアサヒルショクチョクゴトシュウシンマエ　フクヨウ,900
1013104400000000,1,内服,0,経口,1,食事ベース型,１日３回朝昼食後と就寝前　服用,1133,20220725,99999999,0,0,0,0,0,0,１ニチ３カイアサヒルショクゴトシュウシンマエ　フクヨウ,042
1013105500000000,1,内服,0,経口,1,食事ベース型,１日３回朝昼食２時間後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイアサヒルショク２ジカンゴトシュウシンマエ　フクヨウ,900
1013109900000000,1,内服,0,経口,1,食事ベース型,１日３回朝昼食中と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイアサヒルショクチュウトシュウシンマエ　フクヨウ,900
1013110100000000,1,内服,0,経口,1,食事ベース型,１日３回朝夕食前と就寝前　服用,1134,20220725,99999999,0,0,0,0,0,0,１ニチ３カイアサユウショクマエトシュウシンマエ　フクヨウ,043
1013120200000000,1,内服,0,経口,1,食事ベース型,１日３回朝夕食直前と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイアサユウショクチョクゼントシュウシンマエ　フクヨウ,900
1013130300000000,1,内服,0,経口,1,食事ベース型,１日３回朝夕食直後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイアサユウショクチョクゴトシュウシンマエ　フクヨウ,900
1013140400000000,1,内服,0,経口,1,食事ベース型,１日３回朝夕食後と就寝前　服用,1135,20220725,99999999,0,0,0,0,0,0,１ニチ３カイアサユウショクゴトシュウシンマエ　フクヨウ,044
1013150500000000,1,内服,0,経口,1,食事ベース型,１日３回朝夕食２時間後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイアサユウショク２ジカンゴトシュウシンマエ　フクヨウ,900
1013190900000000,1,内服,0,経口,1,食事ベース型,１日３回朝夕食中と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイアサユウショクチュウトシュウシンマエ　フクヨウ,900
1013111000000000,1,内服,0,経口,1,食事ベース型,１日３回昼夕食前と就寝前　服用,1136,20220725,99999999,0,0,0,0,0,0,１ニチ３カイヒルユウショクマエトシュウシンマエ　フクヨウ,045
1013122000000000,1,内服,0,経口,1,食事ベース型,１日３回昼夕食直前と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイヒルユウショクチョクゼントシュウシンマエ　フクヨウ,900
1013133000000000,1,内服,0,経口,1,食事ベース型,１日３回昼夕食直後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイヒルユウショクチョクゴトシュウシンマエ　フクヨウ,900
1013144000000000,1,内服,0,経口,1,食事ベース型,１日３回昼夕食後と就寝前　服用,1137,20220725,99999999,0,0,0,0,0,0,１ニチ３カイヒルユウショクゴトシュウシンマエ　フクヨウ,046
1013155000000000,1,内服,0,経口,1,食事ベース型,１日３回昼夕食２時間後と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイヒルユウショク２ジカンゴトシュウシンマエ　フクヨウ,900
1013199000000000,1,内服,0,経口,1,食事ベース型,１日３回昼夕食中と就寝前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ３カイヒルユウショクチュウトシュウシンマエ　フクヨウ,900
1014011190000000,1,内服,0,経口,1,食事ベース型,１日４回起床時と朝昼夕食前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ４カイキショウジトアサヒルユウショクマエ　フクヨウ,900
1014022290000000,1,内服,0,経口,1,食事ベース型,１日４回起床時と朝昼夕食直前　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ４カイキショウジトアサヒルユウショクチョクゼン　フクヨウ,900
1014033390000000,1,内服,0,経口,1,食事ベース型,１日４回起床時と朝昼夕食直後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ４カイキショウジトアサヒルユウショクチョクゴ　フクヨウ,900
1014044490000000,1,内服,0,経口,1,食事ベース型,１日４回起床時と朝昼夕食後　服用,,20230123,99999999,0,0,0,0,0,0,１ニチ４カイキショウジトアサヒルユウショクゴ　フクヨウ,900
